Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,Time(ns),SolutionFile
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100,7485.0,7420.0,46703892,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000,7459.0,7420.0,124601615,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10000,7450.0,7420.0,289064539,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100000,7428.0,7420.0,949711512,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7428.0,7420.0,6352227906,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1,7792.0,7420.0,11264562,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10,7490.0,7420.0,18079061,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100,7467.0,7420.0,43056926,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,7439.0,7420.0,119150362,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,7440.0,7420.0,259742982,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,7428.0,7420.0,898215427,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7428.0,7420.0,6770216533,SetA_11x5S30-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1,7948.0,7812.0,13624469,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10,7940.0,7812.0,19084910,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100,7818.0,7812.0,47573243,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,7812.0,7812.0,144908185,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,7812.0,7812.0,441324045,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,7812.0,7812.0,2694196532,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7812.0,7812.0,24378923781,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1,8069.0,7812.0,13977385,SetA_11x5S5-Solution
SetA_11x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10,7944.0,7812.0,21272781,SetA_11x5S5-Solution
